mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__criterion,param_tree__max_depth,param_tree__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16.93804512023926,4.054245521208742,0.14642915725708008,0.06373049204128303,gini,40,1,"{'tree__criterion': 'gini', 'tree__max_depth': 40, 'tree__min_samples_leaf': 1}",0.5480864537158116,0.5549965413240432,0.5687049312310802,0.5514745688958891,0.5469087538279096,0.5540342497989468,0.007859463544895692,16
19.67795844078064,0.8418220907371683,0.27469558715820314,0.04908280314697779,gini,40,5,"{'tree__criterion': 'gini', 'tree__max_depth': 40, 'tree__min_samples_leaf': 5}",0.5557855572497816,0.5613558537844319,0.569809271170411,0.5453236163556351,0.5596937352114644,0.5583936067543448,0.007980090309929189,13
17.34143958091736,1.9772269772569,0.30586605072021483,0.07808164410843947,gini,40,20,"{'tree__criterion': 'gini', 'tree__max_depth': 40, 'tree__min_samples_leaf': 20}",0.5304004804684843,0.5262567358663357,0.5300899638908679,0.5218062200968959,0.529287035743923,0.5275680872133014,0.0032328270167792566,25
13.98451132774353,4.773058594935915,0.2139894962310791,0.09775044217391744,gini,40,50,"{'tree__criterion': 'gini', 'tree__max_depth': 40, 'tree__min_samples_leaf': 50}",0.5059027579257936,0.5003854482354304,0.504667156459077,0.5025212680793917,0.5031259190038762,0.5033205099407138,0.0018853488749448312,39
19.0283362865448,2.523863447551087,0.1992802143096924,0.07065375955582652,gini,,1,"{'tree__criterion': 'gini', 'tree__max_depth': None, 'tree__min_samples_leaf': 1}",0.5510118481730844,0.5536297007401553,0.5665302139361452,0.5512813923653923,0.5489823431143412,0.5542870996658238,0.006296475381841406,15
12.682273340225219,4.363428392790019,0.16809415817260742,0.0935451159686038,gini,,5,"{'tree__criterion': 'gini', 'tree__max_depth': None, 'tree__min_samples_leaf': 5}",0.5553520323635633,0.5616873841489484,0.5700604119021759,0.5448552885538899,0.560194255478176,0.5584298744893508,0.008279327333035094,12
13.893961477279664,5.491711358548558,0.16420469284057618,0.08735804996635306,gini,,20,"{'tree__criterion': 'gini', 'tree__max_depth': None, 'tree__min_samples_leaf': 20}",0.5304004804684843,0.5262567358663357,0.5300899638908679,0.5218062200968959,0.529287035743923,0.5275680872133014,0.0032328270167792566,25
16.13782262802124,1.1938640683836585,0.2158824920654297,0.06630071736820191,gini,,50,"{'tree__criterion': 'gini', 'tree__max_depth': None, 'tree__min_samples_leaf': 50}",0.5059027579257936,0.5003854482354304,0.504667156459077,0.5025212680793917,0.5031259190038762,0.5033205099407138,0.0018853488749448312,39
14.910837078094483,5.038441643005108,0.24250922203063965,0.09171650727401282,entropy,10,1,"{'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__min_samples_leaf': 1}",0.5383363633028803,0.5295466805088349,0.5379019770134132,0.5451136958687787,0.5424717976557877,0.5386741028699389,0.005289819070414842,18
15.363104486465454,5.760612895607473,0.21822280883789064,0.018893723815669086,entropy,10,5,"{'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__min_samples_leaf': 5}",0.5380206419687225,0.5285438307555185,0.5381291660486676,0.5464479861200253,0.5414942510842315,0.5385271751954331,0.005858753082861126,19
16.581140661239623,2.659605826289597,0.2124546527862549,0.04408504160540077,entropy,10,20,"{'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__min_samples_leaf': 20}",0.5321385773100706,0.523460225945973,0.532841215991062,0.5344682035521664,0.5337161527739049,0.5313248751146353,0.004010307468821656,24
14.753759956359863,5.749482247750553,0.17113165855407714,0.12677957699963668,entropy,10,50,"{'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__min_samples_leaf': 50}",0.5191995655905687,0.5142058685077818,0.5180346335731565,0.5222226570633925,0.5200543990053186,0.5187434247480436,0.0026504179685008923,28
19.95408425331116,9.561886722001477,0.13489193916320802,0.0585291757469831,entropy,20,1,"{'tree__criterion': 'entropy', 'tree__max_depth': 20, 'tree__min_samples_leaf': 1}",0.5786256174833928,0.5743040991093008,0.585219996968835,0.5731757269489012,0.5704139993254026,0.5763478879671664,0.005164360226025447,1
26.12752447128296,5.02461782364894,0.17511167526245117,0.06184284539321869,entropy,20,5,"{'tree__criterion': 'entropy', 'tree__max_depth': 20, 'tree__min_samples_leaf': 5}",0.578238248480349,0.5747066085176247,0.5830632521676427,0.5720469553036355,0.5721524012091976,0.5760414931356899,0.004171189743827699,2
19.173381519317626,7.189112459464307,0.16606850624084474,0.0872824297845231,entropy,20,20,"{'tree__criterion': 'entropy', 'tree__max_depth': 20, 'tree__min_samples_leaf': 20}",0.5474736309423776,0.5381712268217111,0.5393992885927666,0.5355556085384745,0.5391342803639431,0.5399468070518545,0.0040012089047722936,17
18.502404356002806,7.1239668986367946,0.12546882629394532,0.061376207313757536,entropy,20,50,"{'tree__criterion': 'entropy', 'tree__max_depth': 20, 'tree__min_samples_leaf': 50}",0.5120965384351603,0.508677778078914,0.5128849207929289,0.5125099834521282,0.5107783772316326,0.5113895195981527,0.0015309197677609444,32
17.33029398918152,8.222803701283478,0.12916045188903807,0.07022111150773477,entropy,30,1,"{'tree__criterion': 'entropy', 'tree__max_depth': 30, 'tree__min_samples_leaf': 1}",0.5520420692203422,0.57104735073681,0.5705716450724903,0.5606539764447118,0.5601052104791625,0.5628840503907033,0.0071551704562394965,6
